downtime_event_id,machine_id,failure_id,downtime_date,downtime_hours,reason
DOWN-000001,MCH-001-01-01,FAIL-00001,2026-01-21,4.0,Machine failure
DOWN-000002,MCH-001-01-02,FAIL-00002,2026-01-01,7.52,Machine failure
DOWN-000003,MCH-001-01-02,FAIL-00003,2026-01-09,11.82,Machine failure
DOWN-000004,MCH-001-01-03,FAIL-00004,2026-01-25,11.51,Machine failure
DOWN-000005,MCH-001-01-04,FAIL-00005,2026-01-17,11.28,Machine failure
DOWN-000006,MCH-001-02-02,FAIL-00006,2026-01-02,11.12,Machine failure
DOWN-000007,MCH-001-02-03,FAIL-00007,2026-01-18,7.5,Machine failure
DOWN-000008,MCH-001-02-03,FAIL-00008,2026-01-28,2.43,Machine failure
DOWN-000009,MCH-001-02-04,FAIL-00009,2026-01-05,3.98,Machine failure
DOWN-000010,MCH-001-02-04,FAIL-00010,2026-01-09,4.04,Machine failure
DOWN-000011,MCH-001-02-04,FAIL-00011,2026-01-18,10.4,Machine failure
DOWN-000012,MCH-001-02-04,FAIL-00012,2026-01-22,10.06,Machine failure
DOWN-000013,MCH-001-03-01,FAIL-00013,2026-01-15,7.74,Machine failure
DOWN-000014,MCH-001-03-02,FAIL-00014,2026-01-16,11.03,Machine failure
DOWN-000015,MCH-001-03-03,FAIL-00015,2026-01-21,2.25,Machine failure
DOWN-000016,MCH-001-03-04,FAIL-00016,2026-01-08,8.99,Machine failure
DOWN-000017,MCH-001-03-04,FAIL-00017,2026-01-15,9.93,Machine failure
DOWN-000018,MCH-001-03-04,FAIL-00018,2026-01-21,4.53,Machine failure
DOWN-000019,MCH-002-01-01,FAIL-00019,2026-01-09,4.67,Machine failure
DOWN-000020,MCH-002-01-01,FAIL-00020,2026-01-14,5.94,Machine failure
DOWN-000021,MCH-002-01-04,FAIL-00021,2026-01-22,8.37,Machine failure
DOWN-000022,MCH-002-02-01,FAIL-00022,2026-01-05,6.72,Machine failure
DOWN-000023,MCH-002-02-01,FAIL-00023,2026-01-19,2.24,Machine failure
DOWN-000024,MCH-002-02-02,FAIL-00024,2026-01-25,9.12,Machine failure
DOWN-000025,MCH-002-02-03,FAIL-00025,2026-01-09,8.69,Machine failure
DOWN-000026,MCH-002-03-03,FAIL-00026,2026-01-14,2.14,Machine failure
DOWN-000027,MCH-002-03-03,FAIL-00027,2026-01-16,7.26,Machine failure
DOWN-000028,MCH-002-03-04,FAIL-00028,2026-01-21,4.38,Machine failure
DOWN-000029,MCH-002-03-04,FAIL-00029,2026-01-28,4.04,Machine failure
DOWN-000030,MCH-003-01-01,FAIL-00030,2026-01-04,2.54,Machine failure
DOWN-000031,MCH-003-01-02,FAIL-00031,2026-01-03,9.57,Machine failure
DOWN-000032,MCH-003-01-02,FAIL-00032,2026-01-14,6.04,Machine failure
DOWN-000033,MCH-003-01-03,FAIL-00033,2026-01-29,8.05,Machine failure
DOWN-000034,MCH-003-01-04,FAIL-00034,2026-01-25,5.12,Machine failure
DOWN-000035,MCH-003-02-01,FAIL-00035,2026-01-10,6.16,Machine failure
DOWN-000036,MCH-003-02-02,FAIL-00036,2026-01-29,6.02,Machine failure
DOWN-000037,MCH-003-02-03,FAIL-00037,2026-01-08,9.15,Machine failure
DOWN-000038,MCH-003-02-03,FAIL-00038,2026-01-22,9.51,Machine failure
DOWN-000039,MCH-003-02-04,FAIL-00039,2026-01-03,9.87,Machine failure
DOWN-000040,MCH-003-02-04,FAIL-00040,2026-01-22,7.55,Machine failure
DOWN-000041,MCH-003-02-04,FAIL-00041,2026-01-28,11.71,Machine failure
DOWN-000042,MCH-003-03-03,FAIL-00042,2026-01-05,8.15,Machine failure
DOWN-000043,MCH-003-03-03,FAIL-00043,2026-01-17,4.92,Machine failure
DOWN-000044,MCH-003-03-03,FAIL-00044,2026-01-25,9.14,Machine failure
DOWN-000045,MCH-003-03-04,FAIL-00045,2026-01-05,5.12,Machine failure
DOWN-000046,MCH-003-03-04,FAIL-00046,2026-01-09,6.97,Machine failure
DOWN-000047,MCH-004-01-01,FAIL-00047,2026-01-07,8.88,Machine failure
DOWN-000048,MCH-004-01-01,FAIL-00048,2026-01-15,11.24,Machine failure
DOWN-000049,MCH-004-01-01,FAIL-00049,2026-01-28,4.23,Machine failure
DOWN-000050,MCH-004-01-03,FAIL-00050,2026-01-20,10.38,Machine failure
DOWN-000051,MCH-004-01-04,FAIL-00051,2026-01-17,7.34,Machine failure
DOWN-000052,MCH-004-02-02,FAIL-00052,2026-01-26,7.79,Machine failure
DOWN-000053,MCH-004-02-03,FAIL-00053,2026-01-15,7.75,Machine failure
DOWN-000054,MCH-004-02-04,FAIL-00054,2026-01-11,11.57,Machine failure
DOWN-000055,MCH-004-03-01,FAIL-00055,2026-01-15,4.57,Machine failure
DOWN-000056,MCH-004-03-04,FAIL-00056,2026-01-10,5.38,Machine failure
DOWN-000057,MCH-004-03-04,FAIL-00057,2026-01-15,4.13,Machine failure
DOWN-000058,MCH-004-03-04,FAIL-00058,2026-01-19,8.28,Machine failure
DOWN-000059,MCH-005-01-04,FAIL-00059,2026-01-06,6.74,Machine failure
DOWN-000060,MCH-005-02-01,FAIL-00060,2026-01-16,8.22,Machine failure
DOWN-000061,MCH-005-02-03,FAIL-00061,2026-01-22,11.23,Machine failure
DOWN-000062,MCH-005-03-03,FAIL-00062,2026-01-03,10.69,Machine failure
DOWN-000063,MCH-005-03-03,FAIL-00063,2026-01-06,9.39,Machine failure
DOWN-000064,MCH-005-03-04,FAIL-00064,2026-01-10,3.36,Machine failure
