employee_id,employee_name,role,shift
EMP-0001,Employee 1,Manager,A
EMP-0002,Employee 2,Manager,C
EMP-0003,Employee 3,Operator,A
EMP-0004,Employee 4,Supervisor,A
EMP-0005,Employee 5,Technician,B
EMP-0006,Employee 6,Manager,C
EMP-0007,Employee 7,Operator,C
EMP-0008,Employee 8,Operator,C
EMP-0009,Employee 9,Manager,C
EMP-0010,Employee 10,Operator,C
EMP-0011,Employee 11,Operator,B
EMP-0012,Employee 12,Technician,A
EMP-0013,Employee 13,Operator,C
EMP-0014,Employee 14,Technician,B
EMP-0015,Employee 15,Technician,B
EMP-0016,Employee 16,Manager,A
EMP-0017,Employee 17,Supervisor,C
EMP-0018,Employee 18,Technician,A
EMP-0019,Employee 19,Operator,C
EMP-0020,Employee 20,Manager,A
EMP-0021,Employee 21,Operator,A
EMP-0022,Employee 22,Operator,C
EMP-0023,Employee 23,Manager,A
EMP-0024,Employee 24,Supervisor,A
EMP-0025,Employee 25,Technician,B
EMP-0026,Employee 26,Supervisor,C
EMP-0027,Employee 27,Operator,A
EMP-0028,Employee 28,Technician,A
EMP-0029,Employee 29,Manager,C
EMP-0030,Employee 30,Technician,C
EMP-0031,Employee 31,Technician,B
EMP-0032,Employee 32,Technician,A
EMP-0033,Employee 33,Manager,A
EMP-0034,Employee 34,Operator,A
EMP-0035,Employee 35,Technician,A
EMP-0036,Employee 36,Operator,C
EMP-0037,Employee 37,Manager,A
EMP-0038,Employee 38,Technician,B
EMP-0039,Employee 39,Manager,C
EMP-0040,Employee 40,Manager,B
EMP-0041,Employee 41,Technician,A
EMP-0042,Employee 42,Manager,C
EMP-0043,Employee 43,Operator,C
EMP-0044,Employee 44,Operator,C
EMP-0045,Employee 45,Manager,A
EMP-0046,Employee 46,Technician,A
EMP-0047,Employee 47,Supervisor,C
EMP-0048,Employee 48,Operator,B
EMP-0049,Employee 49,Manager,A
EMP-0050,Employee 50,Operator,B
EMP-0051,Employee 51,Supervisor,B
EMP-0052,Employee 52,Technician,C
EMP-0053,Employee 53,Supervisor,A
EMP-0054,Employee 54,Manager,C
EMP-0055,Employee 55,Technician,A
EMP-0056,Employee 56,Supervisor,B
EMP-0057,Employee 57,Operator,B
EMP-0058,Employee 58,Manager,A
EMP-0059,Employee 59,Supervisor,A
EMP-0060,Employee 60,Supervisor,B
EMP-0061,Employee 61,Operator,C
EMP-0062,Employee 62,Operator,B
EMP-0063,Employee 63,Operator,C
EMP-0064,Employee 64,Supervisor,C
EMP-0065,Employee 65,Technician,B
EMP-0066,Employee 66,Supervisor,C
EMP-0067,Employee 67,Manager,A
EMP-0068,Employee 68,Supervisor,A
EMP-0069,Employee 69,Technician,C
EMP-0070,Employee 70,Technician,C
EMP-0071,Employee 71,Technician,A
EMP-0072,Employee 72,Technician,B
EMP-0073,Employee 73,Manager,B
EMP-0074,Employee 74,Manager,C
EMP-0075,Employee 75,Manager,B
EMP-0076,Employee 76,Technician,B
EMP-0077,Employee 77,Operator,B
EMP-0078,Employee 78,Manager,B
EMP-0079,Employee 79,Operator,B
EMP-0080,Employee 80,Manager,C
EMP-0081,Employee 81,Technician,B
EMP-0082,Employee 82,Supervisor,A
EMP-0083,Employee 83,Technician,A
EMP-0084,Employee 84,Manager,C
EMP-0085,Employee 85,Manager,C
EMP-0086,Employee 86,Manager,A
EMP-0087,Employee 87,Manager,A
EMP-0088,Employee 88,Technician,B
EMP-0089,Employee 89,Technician,A
EMP-0090,Employee 90,Operator,C
EMP-0091,Employee 91,Technician,A
EMP-0092,Employee 92,Manager,A
EMP-0093,Employee 93,Manager,C
EMP-0094,Employee 94,Supervisor,A
EMP-0095,Employee 95,Operator,A
EMP-0096,Employee 96,Supervisor,A
EMP-0097,Employee 97,Technician,A
EMP-0098,Employee 98,Supervisor,A
EMP-0099,Employee 99,Supervisor,A
EMP-0100,Employee 100,Operator,A
