machine_id,line_id,machine_name,machine_type,installation_date,age_years,criticality
MCH-001-01-01,LINE-001-01,Machine MCH-001-01-01,Press,2022-03-06,6,High
MCH-001-01-02,LINE-001-01,Machine MCH-001-01-02,CNC,2019-05-09,6,Low
MCH-001-01-03,LINE-001-01,Machine MCH-001-01-03,Robot,2023-01-03,7,High
MCH-001-01-04,LINE-001-01,Machine MCH-001-01-04,Conveyor,2021-02-08,2,Medium
MCH-001-02-01,LINE-001-02,Machine MCH-001-02-01,Robot,2020-07-10,3,Medium
MCH-001-02-02,LINE-001-02,Machine MCH-001-02-02,Conveyor,2020-08-26,7,Medium
MCH-001-02-03,LINE-001-02,Machine MCH-001-02-03,CNC,2019-12-07,2,Low
MCH-001-02-04,LINE-001-02,Machine MCH-001-02-04,Robot,2022-07-11,7,Medium
MCH-001-03-01,LINE-001-03,Machine MCH-001-03-01,Press,2022-02-11,6,High
MCH-001-03-02,LINE-001-03,Machine MCH-001-03-02,CNC,2020-10-30,8,High
MCH-001-03-03,LINE-001-03,Machine MCH-001-03-03,Conveyor,2019-10-19,4,Low
MCH-001-03-04,LINE-001-03,Machine MCH-001-03-04,CNC,2021-03-30,3,Medium
MCH-002-01-01,LINE-002-01,Machine MCH-002-01-01,Conveyor,2022-01-22,4,Medium
MCH-002-01-02,LINE-002-01,Machine MCH-002-01-02,Conveyor,2022-09-20,4,Medium
MCH-002-01-03,LINE-002-01,Machine MCH-002-01-03,Conveyor,2019-10-12,5,Medium
MCH-002-01-04,LINE-002-01,Machine MCH-002-01-04,Press,2020-05-10,3,Medium
MCH-002-02-01,LINE-002-02,Machine MCH-002-02-01,Conveyor,2020-10-17,3,Medium
MCH-002-02-02,LINE-002-02,Machine MCH-002-02-02,Conveyor,2019-05-26,4,High
MCH-002-02-03,LINE-002-02,Machine MCH-002-02-03,CNC,2022-04-22,7,Medium
MCH-002-02-04,LINE-002-02,Machine MCH-002-02-04,CNC,2019-12-26,6,Low
MCH-002-03-01,LINE-002-03,Machine MCH-002-03-01,Conveyor,2019-10-27,7,High
MCH-002-03-02,LINE-002-03,Machine MCH-002-03-02,Press,2022-03-16,6,Medium
MCH-002-03-03,LINE-002-03,Machine MCH-002-03-03,CNC,2022-03-17,5,Medium
MCH-002-03-04,LINE-002-03,Machine MCH-002-03-04,CNC,2019-02-25,2,Low
MCH-003-01-01,LINE-003-01,Machine MCH-003-01-01,CNC,2021-09-29,6,Medium
MCH-003-01-02,LINE-003-01,Machine MCH-003-01-02,CNC,2019-04-29,7,Medium
MCH-003-01-03,LINE-003-01,Machine MCH-003-01-03,Robot,2021-04-10,2,Medium
MCH-003-01-04,LINE-003-01,Machine MCH-003-01-04,Robot,2021-06-23,2,Medium
MCH-003-02-01,LINE-003-02,Machine MCH-003-02-01,Conveyor,2019-11-18,3,High
MCH-003-02-02,LINE-003-02,Machine MCH-003-02-02,CNC,2019-02-22,3,Low
MCH-003-02-03,LINE-003-02,Machine MCH-003-02-03,Conveyor,2020-02-27,8,Medium
MCH-003-02-04,LINE-003-02,Machine MCH-003-02-04,CNC,2019-07-09,5,High
MCH-003-03-01,LINE-003-03,Machine MCH-003-03-01,Conveyor,2021-09-23,4,High
MCH-003-03-02,LINE-003-03,Machine MCH-003-03-02,CNC,2020-04-26,3,Low
MCH-003-03-03,LINE-003-03,Machine MCH-003-03-03,Press,2019-05-16,7,Medium
MCH-003-03-04,LINE-003-03,Machine MCH-003-03-04,Robot,2021-12-11,3,Medium
MCH-004-01-01,LINE-004-01,Machine MCH-004-01-01,Conveyor,2019-08-17,5,Medium
MCH-004-01-02,LINE-004-01,Machine MCH-004-01-02,Robot,2019-09-07,4,Medium
MCH-004-01-03,LINE-004-01,Machine MCH-004-01-03,Robot,2021-08-03,6,Low
MCH-004-01-04,LINE-004-01,Machine MCH-004-01-04,CNC,2020-05-28,2,High
MCH-004-02-01,LINE-004-02,Machine MCH-004-02-01,CNC,2022-09-24,5,Medium
