production_record_id,machine_id,line_id,product_id,production_date,shift,planned_quantity,actual_quantity,efficiency_percentage
PRODREC-0000001,MCH-001-01-01,LINE-001-01,PROD-006,2026-01-01,C,127,109,86.58
PRODREC-0000002,MCH-001-01-01,LINE-001-01,PROD-004,2026-01-01,B,148,126,85.8
PRODREC-0000003,MCH-001-01-01,LINE-001-01,PROD-009,2026-01-02,C,112,94,84.62
PRODREC-0000004,MCH-001-01-01,LINE-001-01,PROD-007,2026-01-02,A,97,81,83.94
PRODREC-0000005,MCH-001-01-01,LINE-001-01,PROD-006,2026-01-03,C,140,120,86.15
PRODREC-0000006,MCH-001-01-01,LINE-001-01,PROD-007,2026-01-03,A,124,117,94.9
PRODREC-0000007,MCH-001-01-01,LINE-001-01,PROD-002,2026-01-04,C,145,128,88.76
PRODREC-0000008,MCH-001-01-01,LINE-001-01,PROD-002,2026-01-04,A,130,113,87.64
PRODREC-0000009,MCH-001-01-01,LINE-001-01,PROD-001,2026-01-05,B,130,117,90.01
PRODREC-0000010,MCH-001-01-01,LINE-001-01,PROD-002,2026-01-05,C,98,83,84.77
PRODREC-0000011,MCH-001-01-01,LINE-001-01,PROD-007,2026-01-06,C,86,74,86.95
PRODREC-0000012,MCH-001-01-01,LINE-001-01,PROD-001,2026-01-06,A,97,82,84.9
PRODREC-0000013,MCH-001-01-01,LINE-001-01,PROD-006,2026-01-07,B,124,101,81.61
PRODREC-0000014,MCH-001-01-01,LINE-001-01,PROD-002,2026-01-07,C,136,110,81.36
PRODREC-0000015,MCH-001-01-01,LINE-001-01,PROD-005,2026-01-08,B,145,127,87.72
PRODREC-0000016,MCH-001-01-01,LINE-001-01,PROD-006,2026-01-08,B,128,122,95.56
PRODREC-0000017,MCH-001-01-01,LINE-001-01,PROD-007,2026-01-09,B,102,85,84.1
PRODREC-0000018,MCH-001-01-01,LINE-001-01,PROD-006,2026-01-09,B,93,79,85.83
PRODREC-0000019,MCH-001-01-01,LINE-001-01,PROD-008,2026-01-10,C,90,73,82.2
PRODREC-0000020,MCH-001-01-01,LINE-001-01,PROD-002,2026-01-10,B,115,95,83.08
PRODREC-0000021,MCH-001-01-01,LINE-001-01,PROD-009,2026-01-11,B,132,114,87.09
PRODREC-0000022,MCH-001-01-01,LINE-001-01,PROD-005,2026-01-11,A,144,116,81.1
PRODREC-0000023,MCH-001-01-01,LINE-001-01,PROD-007,2026-01-12,B,139,118,85.37
PRODREC-0000024,MCH-001-01-01,LINE-001-01,PROD-010,2026-01-12,B,101,81,80.64
PRODREC-0000025,MCH-001-01-01,LINE-001-01,PROD-007,2026-01-13,A,143,105,73.75
PRODREC-0000026,MCH-001-01-01,LINE-001-01,PROD-010,2026-01-13,C,123,98,80.44
PRODREC-0000027,MCH-001-01-01,LINE-001-01,PROD-005,2026-01-14,A,137,120,88.04
PRODREC-0000028,MCH-001-01-01,LINE-001-01,PROD-004,2026-01-14,A,146,117,80.63
PRODREC-0000029,MCH-001-01-01,LINE-001-01,PROD-005,2026-01-15,B,107,90,84.37
PRODREC-0000030,MCH-001-01-01,LINE-001-01,PROD-009,2026-01-15,A,140,124,88.7
