inspection_id,machine_id,product_id,inspection_date,defect_found,defect_type,quality_score
INSP-0000001,MCH-001-01-01,PROD-004,2026-01-01,False,,95.14
INSP-0000002,MCH-001-01-01,PROD-007,2026-01-02,False,,92.02
INSP-0000003,MCH-001-01-01,PROD-002,2026-01-07,False,,97.0
INSP-0000004,MCH-001-01-01,PROD-004,2026-01-14,False,,92.99
INSP-0000005,MCH-001-01-01,PROD-009,2026-01-15,False,,99.59
INSP-0000006,MCH-001-01-01,PROD-006,2026-01-17,False,,94.9
INSP-0000007,MCH-001-01-01,PROD-004,2026-01-26,False,,93.41
INSP-0000008,MCH-001-01-01,PROD-001,2026-01-28,False,,96.56
INSP-0000009,MCH-001-01-01,PROD-009,2026-01-29,False,,98.75
INSP-0000010,MCH-001-01-01,PROD-009,2026-01-30,False,,98.61
INSP-0000011,MCH-001-01-02,PROD-010,2026-01-07,False,,95.68
INSP-0000012,MCH-001-01-02,PROD-005,2026-01-16,False,,91.27
INSP-0000013,MCH-001-01-02,PROD-005,2026-01-18,False,,99.39
INSP-0000014,MCH-001-01-02,PROD-010,2026-01-21,False,,98.51
INSP-0000015,MCH-001-01-02,PROD-009,2026-01-22,False,,96.78
INSP-0000016,MCH-001-01-02,PROD-005,2026-01-23,False,,97.12
INSP-0000017,MCH-001-01-02,PROD-001,2026-01-26,False,,96.75
INSP-0000018,MCH-001-01-02,PROD-006,2026-01-28,False,,95.82
INSP-0000019,MCH-001-01-02,PROD-004,2026-01-29,False,,98.51
INSP-0000020,MCH-001-01-02,PROD-010,2026-01-30,False,,96.6
INSP-0000021,MCH-001-01-03,PROD-006,2026-01-01,False,,99.26
INSP-0000022,MCH-001-01-03,PROD-004,2026-01-03,False,,95.2
INSP-0000023,MCH-001-01-03,PROD-003,2026-01-05,False,,98.43
INSP-0000024,MCH-001-01-03,PROD-003,2026-01-06,False,,91.81
INSP-0000025,MCH-001-01-03,PROD-006,2026-01-14,True,Assembly Error,91.88
INSP-0000026,MCH-001-01-03,PROD-005,2026-01-16,False,,94.26
INSP-0000027,MCH-001-01-03,PROD-010,2026-01-22,False,,92.33
INSP-0000028,MCH-001-01-03,PROD-002,2026-01-26,False,,92.41
INSP-0000029,MCH-001-01-03,PROD-001,2026-01-30,False,,97.07
INSP-0000030,MCH-001-01-04,PROD-009,2026-01-03,False,,90.54
INSP-0000031,MCH-001-01-04,PROD-008,2026-01-08,False,,90.12
INSP-0000032,MCH-001-01-04,PROD-007,2026-01-09,False,,90.61
INSP-0000033,MCH-001-01-04,PROD-003,2026-01-15,True,Assembly Error,87.96
INSP-0000034,MCH-001-01-04,PROD-009,2026-01-17,True,Dimensional Error,73.28
INSP-0000035,MCH-001-01-04,PROD-008,2026-01-18,False,,92.85
INSP-0000036,MCH-001-01-04,PROD-006,2026-01-19,False,,91.89
INSP-0000037,MCH-001-01-04,PROD-008,2026-01-21,False,,97.08
INSP-0000038,MCH-001-01-04,PROD-005,2026-01-24,False,,95.23
INSP-0000039,MCH-001-01-04,PROD-008,2026-01-28,False,,97.07
INSP-0000040,MCH-001-01-04,PROD-006,2026-01-30,False,,98.12
INSP-0000041,MCH-001-02-01,PROD-009,2026-01-02,False,,96.22
INSP-0000042,MCH-001-02-01,PROD-003,2026-01-04,False,,98.78
INSP-0000043,MCH-001-02-01,PROD-006,2026-01-07,False,,92.78
INSP-0000044,MCH-001-02-01,PROD-004,2026-01-08,False,,99.28
INSP-0000045,MCH-001-02-01,PROD-007,2026-01-09,False,,90.62
INSP-0000046,MCH-001-02-01,PROD-003,2026-01-10,False,,96.43
INSP-0000047,MCH-001-02-01,PROD-002,2026-01-13,False,,92.07
INSP-0000048,MCH-001-02-01,PROD-008,2026-01-19,False,,99.23
INSP-0000049,MCH-001-02-01,PROD-006,2026-01-22,True,Assembly Error,86.09
INSP-0000050,MCH-001-02-01,PROD-004,2026-01-23,False,,91.17
INSP-0000051,MCH-001-02-01,PROD-007,2026-01-24,False,,98.73
INSP-0000052,MCH-001-02-01,PROD-005,2026-01-25,False,,98.46
INSP-0000053,MCH-001-02-01,PROD-003,2026-01-28,True,Surface Defect,70.75
INSP-0000054,MCH-001-02-02,PROD-009,2026-01-06,False,,92.5
INSP-0000055,MCH-001-02-02,PROD-006,2026-01-08,False,,99.73
INSP-0000056,MCH-001-02-02,PROD-009,2026-01-17,False,,95.05
INSP-0000057,MCH-001-02-02,PROD-009,2026-01-18,False,,93.94
INSP-0000058,MCH-001-02-02,PROD-005,2026-01-19,False,,97.49
INSP-0000059,MCH-001-02-02,PROD-010,2026-01-22,False,,93.53
