sensor_reading_id,machine_id,recorded_at,temperature_celsius,vibration_mm_s,pressure_psi
SENSOR-00000001,MCH-001-01-01,2026-01-01 00:00:00,81.31,3.215,99.71
SENSOR-00000002,MCH-001-01-01,2026-01-01 04:00:00,92.57,3.529,101.16
SENSOR-00000003,MCH-001-01-01,2026-01-01 08:00:00,81.15,2.858,103.57
SENSOR-00000004,MCH-001-01-01,2026-01-01 12:00:00,85.25,3.256,94.77
SENSOR-00000005,MCH-001-01-01,2026-01-01 16:00:00,87.91,3.25,96.67
SENSOR-00000006,MCH-001-01-01,2026-01-01 20:00:00,82.31,3.202,100.16
SENSOR-00000007,MCH-001-01-01,2026-01-02 00:00:00,77.17,3.218,105.18
SENSOR-00000008,MCH-001-01-01,2026-01-02 04:00:00,78.06,3.352,99.01
SENSOR-00000009,MCH-001-01-01,2026-01-02 08:00:00,83.95,2.873,99.0
SENSOR-00000010,MCH-001-01-01,2026-01-02 12:00:00,89.4,3.282,105.2
SENSOR-00000011,MCH-001-01-01,2026-01-02 16:00:00,88.91,3.246,105.23
SENSOR-00000012,MCH-001-01-01,2026-01-02 20:00:00,85.96,3.343,99.11
SENSOR-00000013,MCH-001-01-01,2026-01-03 00:00:00,87.12,2.743,99.8
SENSOR-00000014,MCH-001-01-01,2026-01-03 04:00:00,79.51,3.006,104.53
SENSOR-00000015,MCH-001-01-01,2026-01-03 08:00:00,86.75,2.961,96.96
SENSOR-00000016,MCH-001-01-01,2026-01-03 12:00:00,84.33,2.832,97.99
SENSOR-00000017,MCH-001-01-01,2026-01-03 16:00:00,85.45,3.425,101.83
SENSOR-00000018,MCH-001-01-01,2026-01-03 20:00:00,75.03,3.212,100.22
SENSOR-00000019,MCH-001-01-01,2026-01-04 00:00:00,87.59,2.993,102.44
SENSOR-00000020,MCH-001-01-01,2026-01-04 04:00:00,88.47,3.194,100.7
SENSOR-00000021,MCH-001-01-01,2026-01-04 08:00:00,85.28,2.92,99.56
SENSOR-00000022,MCH-001-01-01,2026-01-04 12:00:00,83.59,3.232,103.0
SENSOR-00000023,MCH-001-01-01,2026-01-04 16:00:00,79.97,3.105,104.44
SENSOR-00000024,MCH-001-01-01,2026-01-04 20:00:00,81.22,2.93,100.61
SENSOR-00000025,MCH-001-01-01,2026-01-05 00:00:00,76.19,3.537,98.63
SENSOR-00000026,MCH-001-01-01,2026-01-05 04:00:00,84.63,3.463,95.19
SENSOR-00000027,MCH-001-01-01,2026-01-05 08:00:00,79.19,2.736,97.62
SENSOR-00000028,MCH-001-01-01,2026-01-05 12:00:00,85.96,3.267,100.83
SENSOR-00000029,MCH-001-01-01,2026-01-05 16:00:00,78.55,2.558,100.16
SENSOR-00000030,MCH-001-01-01,2026-01-05 20:00:00,82.31,3.251,102.11
